school,district_id,district_name,school_id,achievement_dir,growth_dir,overall_dir,emh
CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,1284,,,flat,H
CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,1284,flat,flat,flat,M
CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,1296,up,flat,down,E
CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,1296,flat,flat,flat,M
CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,3090,KEENESBURG RE-3(J),1299,flat,up,up,E
CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,3090,KEENESBURG RE-3(J),1299,flat,up,up,M
CARLILE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,1304,down,down,down,E
CARMEL MIDDLE SCHOOL,980,HARRISON 2,1306,flat,flat,flat,M
CARMODY MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,1318,flat,down,down,M
FRED N THOMAS CAREER EDUCATION CENTER,880,DENVER COUNTY 1,1319,up,flat,flat,H
CAMPBELL ELEMENTARY SCHOOL,1828,VALLEY RE-1,1321,up,flat,up,E
CARRIE MARTIN ELEMENTARY SCHOOL,1560,THOMPSON R2-J,1323,flat,down,flat,E
CARSON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1324,up,up,up,E
CARSON MIDDLE SCHOOL,1000,FOUNTAIN 8,1332,flat,flat,flat,M
ABRAMS ELEMENTARY SCHOOL,1000,FOUNTAIN 8,1334,down,flat,down,E
CARVER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,1340,up,up,up,E
CESAR CHAVEZ ACADEMY DENVER,880,DENVER COUNTY 1,1345,flat,down,down,E
CESAR CHAVEZ ACADEMY DENVER,880,DENVER COUNTY 1,1345,down,flat,flat,M
CASEY MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,1352,up,down,flat,M
CASTLE ROCK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,1362,down,flat,flat,E
CASTLE VIEW HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,1367,flat,flat,flat,H
CEDAREDGE HIGH SCHOOL,870,DELTA COUNTY 50(J),1372,up,up,up,H
CEDAREDGE MIDDLE SCHOOL,870,DELTA COUNTY 50(J),1375,flat,down,down,M
SCHOLARS TO LEADERS ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1376,up,up,up,E
SCHOLARS TO LEADERS ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1376,down,up,flat,M
CEDAR RIDGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,1377,flat,flat,flat,E
CENTAURI HIGH SCHOOL,550,NORTH CONEJOS RE-1J,1378,flat,flat,flat,H
CENTAURUS HIGH SCHOOL,480,BOULDER VALLEY RE 2,1380,flat,flat,flat,H
CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,140,LITTLETON 6,1382,flat,down,flat,E
CENTENNIAL ELEMENTARY SCHOOL,980,HARRISON 2,1383,flat,flat,flat,E
CENTENNIAL ELEMENTARY SCHOOL,3120,GREELEY 6,1384,flat,up,flat,E
CENTENNIAL ELEMENTARY SCHOOL,1560,THOMPSON R2-J,1385,up,flat,up,E
TRINIDAD MIDDLE SCHOOL,1580,TRINIDAD 1,1386,down,down,down,M
CENTENNIAL ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,1388,down,down,down,E
CENTENNIAL MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,1390,flat,flat,flat,M
CENTENNIAL MIDDLE SCHOOL,2180,MONTROSE COUNTY RE-1J,1392,up,flat,flat,M
CENTENNIAL JUNIOR HIGH SCHOOL,640,CENTENNIAL R-1,1396,up,up,up,M
CENTENNIAL HIGH SCHOOL,640,CENTENNIAL R-1,1398,down,flat,flat,H
CENTENNIAL K-8 SCHOOL,880,DENVER COUNTY 1,1400,up,down,flat,E
CENTENNIAL K-8 SCHOOL,880,DENVER COUNTY 1,1400,flat,up,up,M
CENTENNIAL HIGH SCHOOL,2690,PUEBLO CITY 60,1402,down,down,flat,H
HASKIN ELEMENTARY SCHOOL,2810,CENTER 26 JT,1412,up,up,up,E
SKOGLUND MIDDLE SCHOOL,2810,CENTER 26 JT,1416,flat,up,up,M
CENTER HIGH SCHOOL,2810,CENTER 26 JT,1420,up,flat,flat,H
CENTRAL ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,1426,down,down,down,E
CENTRAL ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,1434,flat,up,up,E
BEAVER VALLEY ELEMENTARY SCHOOL,2395,BRUSH RE-2(J),1438,flat,down,down,E
WELD CENTRAL SENIOR HIGH SCHOOL,3090,KEENESBURG RE-3(J),1446,flat,up,flat,H
CENTRAL HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,1450,flat,up,up,H
CENTRAL HIGH SCHOOL,2690,PUEBLO CITY 60,1454,down,flat,flat,H
AURORA CENTRAL HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,1458,down,flat,up,H
CENTURY ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,1470,flat,down,down,E
CENTURY MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,1480,flat,flat,flat,M
CESAR CHAVEZ ACADEMY,2690,PUEBLO CITY 60,1488,flat,flat,flat,E
CESAR CHAVEZ ACADEMY,2690,PUEBLO CITY 60,1488,down,flat,flat,M
CHAPPELOW K-8 MAGNET SCHOOL,3120,GREELEY 6,1500,flat,up,up,E
CHAPPELOW K-8 MAGNET SCHOOL,3120,GREELEY 6,1500,flat,flat,flat,M
CHAPARRAL HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,1503,flat,down,flat,H
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,1504,flat,flat,flat,E
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,1504,down,down,down,M
CHAFFEE COUNTY HIGH SCHOOL,490,BUENA VISTA R-31,1508,,,down,H
CHALLENGE SCHOOL,130,CHERRY CREEK 5,1510,flat,down,down,E
CHALLENGE SCHOOL,130,CHERRY CREEK 5,1510,flat,flat,flat,M
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,1512,up,flat,flat,E
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,1512,flat,flat,flat,M
CHARLES HAY WORLD SCHOOL,120,ENGLEWOOD 1,1514,up,up,up,E
STARGATE CHARTER SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,1519,flat,flat,flat,E
STARGATE CHARTER SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,1519,flat,flat,flat,M
CHATFIELD ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,1520,flat,flat,down,E
CHATFIELD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,1522,flat,flat,flat,H
CHELTENHAM ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1528,flat,up,flat,E
CHERAW ELEMENTARY SCHOOL,2560,CHERAW 31,1538,down,down,down,E
CHERAW HIGH SCHOOL,2560,CHERAW 31,1546,down,,flat,H
CHERAW MIDDLE SCHOOL,2560,CHERAW 31,1548,flat,down,down,M
CHEROKEE TRAIL HIGH SCHOOL,130,CHERRY CREEK 5,1551,flat,flat,flat,H
CHERRELYN ELEMENTARY SCHOOL,120,ENGLEWOOD 1,1556,flat,up,up,E
CAMPUS MIDDLE SCHOOL,130,CHERRY CREEK 5,1566,flat,flat,flat,M
WEST MIDDLE SCHOOL,130,CHERRY CREEK 5,1568,flat,flat,flat,M
CHERRY CREEK HIGH SCHOOL,130,CHERRY CREEK 5,1570,flat,flat,flat,H
CHERRY CREEK CHARTER ACADEMY,130,CHERRY CREEK 5,1571,flat,up,flat,E
CHERRY CREEK CHARTER ACADEMY,130,CHERRY CREEK 5,1571,flat,up,up,M
HIGH PLAINS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,1572,up,flat,flat,E
CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,1574,flat,flat,flat,E
CHERRY VALLEY ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,1578,flat,down,down,E
NORTH STAR ACADEMY,900,DOUGLAS COUNTY RE 1,1579,flat,flat,flat,E
NORTH STAR ACADEMY,900,DOUGLAS COUNTY RE 1,1579,flat,flat,down,M
CHEYENNE MOUNTAIN CHARTER ACADEMY,1020,CHEYENNE MOUNTAIN 12,1582,flat,down,down,E
CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,1586,flat,up,up,E
CHEYENNE MOUNTAIN JUNIOR HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,1588,flat,flat,flat,M
CHEYENNE MOUNTAIN HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,1590,flat,flat,flat,H
BROADMOOR ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,1592,flat,flat,flat,E
SKYWAY PARK ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,1604,up,up,flat,E
CHEYENNE WELLS ELEMENTARY SCHOOL,520,CHEYENNE COUNTY RE-5,1608,down,flat,flat,E
CHEYENNE WELLS MIDDLE SCHOOL,520,CHEYENNE COUNTY RE-5,1610,up,up,up,M
CHEYENNE WELLS HIGH SCHOOL,520,CHEYENNE COUNTY RE-5,1612,down,flat,flat,H
CHIPETA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,1613,flat,up,up,E
CIMARRON ELEMENTARY SCHOOL,130,CHERRY CREEK 5,1614,up,up,up,E
CHINOOK TRAIL ELEMENTARY SCHOOL,1040,ACADEMY 20,1615,up,up,flat,E
CIVA CHARTER ACADEMY,1010,COLORADO SPRINGS 11,1616,down,down,down,H
EVANS INTERNATIONAL ELEMENTARY SCHOOL,1110,FALCON 49,1618,flat,flat,flat,E
CHIPETA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,1619,up,up,up,E
CLARA E. METZ ELEMENTARY SCHOOL,70,WESTMINSTER 50,1622,flat,down,down,E
MCAULIFFE ELEMENTARY,1010,COLORADO SPRINGS 11,1625,flat,up,up,E
THE CLASSICAL ACADEMY CHARTER,1040,ACADEMY 20,1627,flat,flat,flat,E
THE CLASSICAL ACADEMY MIDDLE SCHOOL,1040,ACADEMY 20,1629,flat,flat,flat,M
THE CLASSICAL ACADEMY HIGH SCHOOL,1040,ACADEMY 20,1630,down,down,down,H
GILPIN COUNTY ELEMENTARY SCHOOL,1330,GILPIN COUNTY RE-1,1632,down,down,down,E
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,1330,GILPIN COUNTY RE-1,1634,flat,down,down,H
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,1330,GILPIN COUNTY RE-1,1634,down,down,flat,M
CLAYTON ELEMENTARY SCHOOL,120,ENGLEWOOD 1,1652,flat,up,up,E
CLEAR CREEK MIDDLE SCHOOL,540,CLEAR CREEK RE-1,1660,flat,flat,up,M
CLIFTON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,1686,up,up,up,E
CLYDE MILLER K-8,180,ADAMS-ARAPAHOE 28J,1720,up,flat,flat,E
COAL CREEK ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,1725,flat,up,up,E
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,1730,up,up,up,E
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,1730,flat,flat,flat,M
COLORADO HIGH SCHOOL,880,DENVER COUNTY 1,1748,,,flat,H
COLORADO VIRTUAL ACADEMY (COVA),20,ADAMS 12 FIVE STAR SCHOOLS,1752,flat,down,flat,E
COLORADO VIRTUAL ACADEMY (COVA),20,ADAMS 12 FIVE STAR SCHOOLS,1752,flat,flat,up,H
COLORADO VIRTUAL ACADEMY (COVA),20,ADAMS 12 FIVE STAR SCHOOLS,1752,flat,flat,down,M
COLFAX ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1774,up,flat,flat,E
COLE ARTS AND SCIENCE ACADEMY,880,DENVER COUNTY 1,1785,up,flat,down,E
COLE ARTS AND SCIENCE ACADEMY,880,DENVER COUNTY 1,1785,up,flat,flat,M
COLLEGE VIEW ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1788,flat,down,down,E
COLOROW ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,1790,flat,flat,down,E
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1791,flat,down,flat,E
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1791,flat,flat,flat,M
COLORADO SPRINGS EARLY COLLEGES,8001,CHARTER SCHOOL INSTITUTE,1795,up,flat,flat,H
COLORADO CONNECTIONS ACADEMY,10,MAPLETON 1,1796,flat,flat,flat,E
COLORADO CONNECTIONS ACADEMY,10,MAPLETON 1,1796,flat,flat,flat,H
COLORADO CONNECTIONS ACADEMY,10,MAPLETON 1,1796,flat,flat,flat,M
COLUMBIA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,1798,up,flat,flat,E
COLUMBIA MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,1800,down,down,down,M
LAS ANIMAS ELEMENTARY SCHOOL,290,LAS ANIMAS RE-1,1812,down,down,down,E
COLUMBIAN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1816,flat,flat,flat,E
COLUMBIAN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,1828,flat,flat,flat,E
COLUMBINE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,1842,up,up,up,E
COLUMBINE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,1844,up,up,up,E
COLUMBINE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1846,flat,down,down,E
COLUMBINE ELEMENTARY SCHOOL,2405,FORT MORGAN RE-3,1850,up,up,up,E
COLUMBINE HILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,1861,flat,flat,down,E
COLUMBINE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,1864,flat,up,flat,H
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,880,DENVER COUNTY 1,1866,,,down,A
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,880,DENVER COUNTY 1,1866,down,down,down,H
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,880,DENVER COUNTY 1,1866,down,down,flat,M
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,1869,up,up,up,E
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,1869,,,up,H
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,1869,down,up,up,M
CORONADO HIGH SCHOOL,1010,COLORADO SPRINGS 11,1870,flat,flat,flat,H
CORE KNOWLEDGE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,1873,flat,flat,flat,E
CORE KNOWLEDGE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,1873,up,flat,flat,M
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,1875,flat,down,down,E
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,1875,flat,flat,flat,H
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,1875,up,flat,flat,M
CORONADO ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,1876,flat,flat,flat,E
COLORADO PROVOST ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1877,flat,flat,down,H
CORONADO HILLS ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,1878,flat,down,down,E
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,1880,flat,up,up,E
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,1880,down,flat,down,H
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,1880,down,flat,flat,M
COMMUNITY LEADERSHIP ACADEMY,30,ADAMS COUNTY 14,1882,up,up,up,E
COMMUNITY LEADERSHIP ACADEMY,30,ADAMS COUNTY 14,1882,up,up,flat,M
COMMUNITY MONTESSORI SCHOOL,480,BOULDER VALLEY RE 2,1883,flat,down,down,E
COMMUNITY PREP CHARTER SCHOOL,1010,COLORADO SPRINGS 11,1885,down,down,down,H
CONIFER SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,1886,flat,up,flat,H
CORTEZ MIDDLE SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,1888,flat,flat,flat,M
CORRIDOR COMMUNITY ACADEMY,50,BENNETT 29J,1889,down,up,flat,E
COPPER MESA ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,1899,flat,flat,flat,E
COLORADO CALVERT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1901,flat,flat,flat,E
COLORADO CALVERT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,1901,flat,,flat,M
CORY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1908,flat,flat,flat,E
COTTON CREEK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,1914,flat,up,flat,E
COTTONWOOD ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,1915,flat,flat,flat,E
COTTONWOOD CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,1916,flat,up,flat,E
COTTONWOOD PLAINS ELEMENTARY SCHOOL,1560,THOMPSON R2-J,1920,flat,up,flat,E
COUGAR RUN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,1925,flat,up,flat,E
COWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,1928,up,down,down,E
COYOTE CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,1934,flat,flat,flat,E
SANDROCK ELEMENTARY,2020,MOFFAT COUNTY RE:NO 1,1936,down,up,up,E
COYOTE RIDGE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,1937,flat,flat,up,E
CRAIG MIDDLE SCHOOL,2020,MOFFAT COUNTY RE:NO 1,1938,flat,flat,flat,M
CRAWFORD ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,1948,flat,flat,flat,E
CRAWFORD ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),1952,up,,flat,E
CRAWFORD ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),1952,flat,down,down,M
LAMB ELEMENTARY SCHOOL,2010,CREEDE SCHOOL DISTRICT,1962,down,,up,E
CREEDE MIDDLE/HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,1966,,,up,H
CREEKSIDE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,1970,flat,flat,flat,E
CREIGHTON MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,1976,flat,up,up,M
CREST VIEW ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,1996,flat,flat,flat,E
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,2006,up,flat,flat,E
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,2006,flat,flat,flat,H
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,2006,flat,flat,flat,M
CRESTHILL MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,2012,flat,flat,flat,M
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,2018,up,,down,E
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,2018,,,up,H
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,2018,up,,down,M
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,2024,flat,up,flat,H
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,2024,flat,up,up,M
POLARIS AT EBERT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,2027,flat,flat,flat,E
CROWN POINTE CHARTER ACADEMY,70,WESTMINSTER 50,2035,flat,down,flat,E
CROWN POINTE CHARTER ACADEMY,70,WESTMINSTER 50,2035,flat,down,flat,M
CROWLEY COUNTY ELEMENTARY SCHOOL,770,CROWLEY COUNTY RE-1-J,2050,down,down,down,E
CROWLEY COUNTY WARD MIDDLE SCHOOL,770,CROWLEY COUNTY RE-1-J,2054,flat,down,down,M
CROWLEY COUNTY HIGH SCHOOL,770,CROWLEY COUNTY RE-1-J,2058,up,up,flat,H
CRYSTAL RIVER ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,2063,up,down,down,E
CUSTER COUNTY ELEMENTARY SCHOOL,860,CUSTER COUNTY SCHOOL DISTR,2088,up,up,up,E
COYOTE RIDGE ELEMENTARY SCHOOL,1560,THOMPSON R2-J,2089,flat,down,flat,E
CUSTER MIDDLE SCHOOL,860,CUSTER COUNTY SCHOOL DISTR,2091,up,flat,up,M
CUSTER COUNTY HIGH SCHOOL,860,CUSTER COUNTY SCHOOL DISTR,2092,down,flat,flat,H
DAKOTA RIDGE SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,2093,flat,up,up,H
DAKOTA VALLEY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,2094,flat,flat,flat,E
DALTON ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,2095,up,flat,flat,E
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,2096,flat,up,flat,E
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,2096,flat,flat,flat,M
DARTMOUTH ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,2114,down,flat,down,E
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,2120,flat,flat,flat,H
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,2120,flat,flat,flat,M
DE BEQUE ELEMENTARY SCHOOL,1980,DE BEQUE 49JT,2122,up,up,up,E
DENVER GREEN SCHOOL,880,DENVER COUNTY 1,2125,flat,flat,flat,E
DE BEQUE UNDIVIDED HIGH SCHOOL,1980,DE BEQUE 49JT,2126,,,down,H
INDEPENDENCE ACADEMY,2000,MESA COUNTY VALLEY 51,2128,up,down,flat,E
INDEPENDENCE ACADEMY,2000,MESA COUNTY VALLEY 51,2128,up,flat,down,M
DEER CREEK MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,2130,flat,flat,down,M
DEER TRAIL ELEMENTARY SCHOOL,170,DEER TRAIL 26J,2136,flat,down,flat,E
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,170,DEER TRAIL 26J,2140,up,up,flat,H
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,170,DEER TRAIL 26J,2140,up,up,up,M
DSST: GREEN VALLY RANCH,880,DENVER COUNTY 1,2145,flat,flat,flat,M
DEL NORTE MIDDLE SCHOOL,2730,DEL NORTE C-7,2148,flat,down,flat,M
DEL NORTE HIGH SCHOOL,2730,DEL NORTE C-7,2150,up,flat,flat,H
DELTA COUNTY OPPORTUNITY SCHOOL,870,DELTA COUNTY 50(J),2155,,,down,A
DELTA COUNTY OPPORTUNITY SCHOOL,870,DELTA COUNTY 50(J),2155,,,down,H
DELTA MIDDLE SCHOOL,870,DELTA COUNTY 50(J),2160,up,flat,down,M
DELTA HIGH SCHOOL,870,DELTA COUNTY 50(J),2164,down,flat,flat,H
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),2166,down,,down,E
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),2166,flat,up,flat,H
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),2166,flat,down,flat,M
DENISON MONTESSORI SCHOOL,880,DENVER COUNTY 1,2174,flat,down,flat,E
DENVER CENTER FOR INTERNATIONAL STUDIES,880,DENVER COUNTY 1,2183,flat,flat,flat,H
DENVER CENTER FOR INTERNATIONAL STUDIES,880,DENVER COUNTY 1,2183,flat,down,down,M
DENVER SCHOOL OF THE ARTS,880,DENVER COUNTY 1,2184,flat,flat,flat,H
DENVER SCHOOL OF THE ARTS,880,DENVER COUNTY 1,2184,flat,flat,flat,M
DSST: STAPLETON,880,DENVER COUNTY 1,2185,flat,flat,flat,H
DSST: STAPLETON,880,DENVER COUNTY 1,2185,flat,down,flat,M
DEVINNY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,2194,flat,up,up,E
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,2195,flat,flat,down,E
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,2195,down,down,down,H
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,2195,flat,flat,down,M
DOHERTY HIGH SCHOOL,1010,COLORADO SPRINGS 11,2202,down,down,down,H
DOLORES ELEMENTARY SCHOOL,2055,DOLORES RE-4A,2204,up,up,up,E
DOLORES MIDDLE SCHOOL,2055,DOLORES RE-4A,2206,flat,flat,flat,M
DOLORES HIGH SCHOOL,2055,DOLORES RE-4A,2208,flat,up,up,H
DOVE CREEK HIGH SCHOOL,890,DOLORES COUNTY RE NO.2,2216,up,up,up,H
DOVE CREEK HIGH SCHOOL,890,DOLORES COUNTY RE NO.2,2216,down,down,down,M
DOLORES HUERTA PREPARATORY HIGH SCHOOL,2690,PUEBLO CITY 60,2217,down,down,down,H
DOS RIOS ELEMENTARY SCHOOL,3120,GREELEY 6,2222,down,flat,down,E
DOS RIOS ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,2224,up,flat,flat,E
CASTLE ROCK MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,2226,flat,up,flat,M
DOUGLAS COUNTY HIGH SCHOOL,900,DOUGLAS COUNTY RE 1,2230,flat,flat,flat,H
ROCK RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,2232,flat,flat,down,E
CHEROKEE TRAIL ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,2233,flat,flat,flat,E
EAGLE RIDGE ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,2234,flat,flat,flat,E
DOUGLASS ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,2240,flat,down,down,E
DOUGLASS VALLEY ELEMENTARY SCHOOL,1040,ACADEMY 20,2248,flat,down,down,E
DOULL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,2258,flat,up,up,E
DRAKE JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,2288,up,up,up,M
DRY CREEK ELEMENTARY SCHOOL,130,CHERRY CREEK 5,2292,flat,flat,flat,E
DUAL IMMERSION ACADEMY SCHOOL,2000,MESA COUNTY VALLEY 51,2297,flat,down,down,E
DUNN ELEMENTARY SCHOOL,1550,POUDRE R-1,2298,down,down,flat,E
DUNSTAN MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,2300,flat,flat,flat,M
DUPONT ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,2308,flat,flat,down,E
DURANGO HIGH SCHOOL,1520,DURANGO 9-R,2318,flat,flat,flat,H
DUTCH CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,2322,up,up,up,E
EADS ELEMENTARY SCHOOL,1430,EADS RE-1,2328,up,,up,E
