Record_no,district_id,district_name,school_id,school,EMH,EMH_combined,achievement_dir,growth_dir,overall_dir,emh
222.0,940.0,BIG SANDY 100J,7918.0,SIMLA JUNIOR HIGH SCHOOL,M,M,flat,down,flat,
223.0,480.0,BOULDER VALLEY RE 2,4878.0,ANGEVINE MIDDLE SCHOOL,M,M,flat,flat,up,
224.0,480.0,BOULDER VALLEY RE 2,125.0,ARAPAHOE RIDGE HIGH SCHOOL,H,H,up,down,down,
225.0,480.0,BOULDER VALLEY RE 2,441.0,ASPEN CREEK K8 SCHOOL,E,EM,flat,up,up,
226.0,480.0,BOULDER VALLEY RE 2,441.0,ASPEN CREEK K8 SCHOOL,M,EM,flat,flat,flat,
227.0,480.0,BOULDER VALLEY RE 2,652.0,BEAR CREEK ELEMENTARY SCHOOL,E,E,flat,flat,flat,
228.0,480.0,BOULDER VALLEY RE 2,872.0,BIRCH ELEMENTARY SCHOOL,E,E,flat,up,up,
229.0,480.0,BOULDER VALLEY RE 2,919.0,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,E,E,flat,up,flat,
230.0,480.0,BOULDER VALLEY RE 2,924.0,BOULDER HIGH SCHOOL,H,H,flat,flat,flat,
231.0,480.0,BOULDER VALLEY RE 2,934.0,BOULDER PREP CHARTER HIGH SCHOOL,H,H,,,flat,
232.0,480.0,BOULDER VALLEY RE 2,930.0,BOULDER UNIVERSAL,E,EMH,,,,
233.0,480.0,BOULDER VALLEY RE 2,930.0,BOULDER UNIVERSAL,M,EMH,,,,
234.0,480.0,BOULDER VALLEY RE 2,930.0,BOULDER UNIVERSAL,H,EMH,,,down,
235.0,480.0,BOULDER VALLEY RE 2,1066.0,BROOMFIELD HEIGHTS MIDDLE SCHOOL,M,M,flat,up,flat,
236.0,480.0,BOULDER VALLEY RE 2,1070.0,BROOMFIELD HIGH SCHOOL,H,H,flat,flat,flat,
237.0,480.0,BOULDER VALLEY RE 2,1352.0,CASEY MIDDLE SCHOOL,M,M,up,flat,flat,
238.0,480.0,BOULDER VALLEY RE 2,1380.0,CENTAURUS HIGH SCHOOL,H,H,flat,flat,flat,
239.0,480.0,BOULDER VALLEY RE 2,1390.0,CENTENNIAL MIDDLE SCHOOL,M,M,flat,flat,flat,
240.0,480.0,BOULDER VALLEY RE 2,1725.0,COAL CREEK ELEMENTARY SCHOOL,E,E,flat,flat,flat,
241.0,480.0,BOULDER VALLEY RE 2,1842.0,COLUMBINE ELEMENTARY SCHOOL,E,E,flat,flat,down,
242.0,480.0,BOULDER VALLEY RE 2,1883.0,COMMUNITY MONTESSORI SCHOOL,E,E,flat,up,up,
243.0,480.0,BOULDER VALLEY RE 2,5606.0,CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,E,E,flat,up,up,
244.0,480.0,BOULDER VALLEY RE 2,1996.0,CREST VIEW ELEMENTARY SCHOOL,E,E,flat,flat,flat,
245.0,480.0,BOULDER VALLEY RE 2,2240.0,DOUGLASS ELEMENTARY SCHOOL,E,E,flat,up,down,
246.0,480.0,BOULDER VALLEY RE 2,2552.0,EISENHOWER ELEMENTARY SCHOOL,E,E,flat,up,up,
247.0,480.0,BOULDER VALLEY RE 2,2589.0,ELDORADO K8 SCHOOL,E,EM,flat,flat,flat,
248.0,480.0,BOULDER VALLEY RE 2,2589.0,ELDORADO K8 SCHOOL,M,EM,flat,flat,flat,
249.0,480.0,BOULDER VALLEY RE 2,2702.0,EMERALD ELEMENTARY SCHOOL,E,E,flat,up,up,
250.0,480.0,BOULDER VALLEY RE 2,2892.0,FAIRVIEW HIGH SCHOOL,H,H,flat,flat,flat,
251.0,480.0,BOULDER VALLEY RE 2,2940.0,FIRESIDE ELEMENTARY SCHOOL,E,E,flat,flat,flat,
252.0,480.0,BOULDER VALLEY RE 2,2970.0,FLATIRONS ELEMENTARY SCHOOL,E,E,flat,up,up,
253.0,480.0,BOULDER VALLEY RE 2,3022.0,FOOTHILL ELEMENTARY SCHOOL,E,E,flat,flat,flat,
254.0,480.0,BOULDER VALLEY RE 2,3488.0,GOLD HILL ELEMENTARY SCHOOL,E,E,,,down,
255.0,480.0,BOULDER VALLEY RE 2,3499.0,HALCYON SCHOOL (SPECIAL EDUCATION),M,MH,,,,
256.0,480.0,BOULDER VALLEY RE 2,3499.0,HALCYON SCHOOL (SPECIAL EDUCATION),H,MH,,,flat,
257.0,480.0,BOULDER VALLEY RE 2,3882.0,HEATHERWOOD ELEMENTARY SCHOOL,E,E,flat,up,flat,
258.0,480.0,BOULDER VALLEY RE 2,3940.0,HIGH PEAKS ELEMENTARY SCHOOL,E,E,flat,down,down,
259.0,480.0,BOULDER VALLEY RE 2,6642.0,HORIZONS K8 SCHOOL,E,EM,flat,flat,flat,
260.0,480.0,BOULDER VALLEY RE 2,6642.0,HORIZONS K8 SCHOOL,M,EM,flat,up,up,
261.0,480.0,BOULDER VALLEY RE 2,4386.0,JAMESTOWN ELEMENTARY SCHOOL,E,E,,,down,
262.0,480.0,BOULDER VALLEY RE 2,4496.0,JUSTICE HIGH CHARTER SCHOOL,M,MH,,,,
263.0,480.0,BOULDER VALLEY RE 2,4496.0,JUSTICE HIGH CHARTER SCHOOL,H,MH,down,,flat,
264.0,480.0,BOULDER VALLEY RE 2,4792.0,KOHL ELEMENTARY SCHOOL,E,E,flat,flat,flat,
265.0,480.0,BOULDER VALLEY RE 2,4874.0,LAFAYETTE ELEMENTARY SCHOOL,E,E,flat,up,flat,
266.0,480.0,BOULDER VALLEY RE 2,5302.0,LOUISVILLE ELEMENTARY SCHOOL,E,E,flat,up,flat,
267.0,480.0,BOULDER VALLEY RE 2,5306.0,LOUISVILLE MIDDLE SCHOOL,M,M,flat,flat,flat,
268.0,480.0,BOULDER VALLEY RE 2,1136.0,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,M,M,flat,flat,flat,
269.0,480.0,BOULDER VALLEY RE 2,5838.0,MESA ELEMENTARY SCHOOL,E,E,flat,up,up,
270.0,480.0,BOULDER VALLEY RE 2,5999.0,MONARCH HIGH SCHOOL,H,H,flat,down,flat,
271.0,480.0,BOULDER VALLEY RE 2,6000.0,MONARCH K8 SCHOOL,E,EM,flat,flat,flat,
272.0,480.0,BOULDER VALLEY RE 2,6000.0,MONARCH K8 SCHOOL,M,EM,flat,up,flat,
273.0,480.0,BOULDER VALLEY RE 2,6208.0,NEDERLAND ELEMENTARY SCHOOL,E,E,up,up,up,
274.0,480.0,BOULDER VALLEY RE 2,6212.0,NEDERLAND MIDDLESENIOR HIGH SCHOOL,M,MH,down,down,down,
275.0,480.0,BOULDER VALLEY RE 2,6212.0,NEDERLAND MIDDLESENIOR HIGH SCHOOL,H,MH,up,up,flat,
276.0,480.0,BOULDER VALLEY RE 2,6224.0,NEVIN PLATT MIDDLE SCHOOL,M,M,flat,flat,flat,
277.0,480.0,BOULDER VALLEY RE 2,6195.0,NEW VISTA HIGH SCHOOL,H,H,flat,up,flat,
278.0,480.0,BOULDER VALLEY RE 2,6816.0,PEAK TO PEAK CHARTER SCHOOL,E,EMH,flat,flat,up,
279.0,480.0,BOULDER VALLEY RE 2,6816.0,PEAK TO PEAK CHARTER SCHOOL,M,EMH,flat,up,up,
280.0,480.0,BOULDER VALLEY RE 2,6816.0,PEAK TO PEAK CHARTER SCHOOL,H,EMH,flat,flat,flat,
281.0,480.0,BOULDER VALLEY RE 2,6962.0,PIONEER BILINGUAL ELEMENTARY SCHOOL,E,E,down,flat,flat,
282.0,480.0,BOULDER VALLEY RE 2,7528.0,RYAN ELEMENTARY SCHOOL,E,E,flat,up,up,
283.0,480.0,BOULDER VALLEY RE 2,7592.0,SANCHEZ ELEMENTARY SCHOOL,E,E,up,up,up,
284.0,480.0,BOULDER VALLEY RE 2,8135.0,SOUTHERN HILLS MIDDLE SCHOOL,M,M,flat,flat,flat,
285.0,480.0,BOULDER VALLEY RE 2,8387.0,SUMMIT MIDDLE CHARTER SCHOOL,M,M,flat,flat,flat,
286.0,480.0,BOULDER VALLEY RE 2,8418.0,SUPERIOR ELEMENTARY SCHOOL,E,E,flat,flat,flat,
287.0,480.0,BOULDER VALLEY RE 2,8978.0,UNIVERSITY HILL ELEMENTARY SCHOOL,E,E,flat,up,flat,
288.0,480.0,BOULDER VALLEY RE 2,9544.0,WHITTIER ELEMENTARY SCHOOL,E,E,flat,up,flat,
289.0,1750.0,BRANSON REORGANIZED 82,974.0,BRANSON ELEMENTARY SCHOOL,E,E,,,down,
290.0,1750.0,BRANSON REORGANIZED 82,948.0,BRANSON SCHOOL ONLINE,E,EMH,up,up,up,
291.0,1750.0,BRANSON REORGANIZED 82,948.0,BRANSON SCHOOL ONLINE,M,EMH,flat,flat,up,
292.0,1750.0,BRANSON REORGANIZED 82,948.0,BRANSON SCHOOL ONLINE,H,EMH,up,flat,flat,
293.0,1750.0,BRANSON REORGANIZED 82,978.0,BRANSON UNDIVIDED HIGH SCHOOL,M,MH,,,,
294.0,1750.0,BRANSON REORGANIZED 82,978.0,BRANSON UNDIVIDED HIGH SCHOOL,H,MH,,,down,
295.0,3146.0,BRIGGSDALE RE10,1008.0,BRIGGSDALE ELEMENTARY SCHOOL,E,E,flat,up,up,
296.0,3146.0,BRIGGSDALE RE10,1012.0,BRIGGSDALE UNDIVIDED HIGH SCHOOL,M,MH,up,down,flat,
297.0,3146.0,BRIGGSDALE RE10,1012.0,BRIGGSDALE UNDIVIDED HIGH SCHOOL,H,MH,down,down,flat,
298.0,40.0,BRIGHTON 27J,700.0,BELLE CREEK CHARTER SCHOOL,E,EM,flat,down,down,
299.0,40.0,BRIGHTON 27J,700.0,BELLE CREEK CHARTER SCHOOL,M,EM,flat,down,down,
300.0,40.0,BRIGHTON 27J,1021.0,BRIGHTON HERITAGE ACADEMY,M,MH,,,down,
301.0,40.0,BRIGHTON 27J,1021.0,BRIGHTON HERITAGE ACADEMY,H,MH,up,down,flat,
302.0,40.0,BRIGHTON 27J,1022.0,BRIGHTON HIGH SCHOOL,H,H,flat,flat,flat,
303.0,40.0,BRIGHTON 27J,1052.0,BROMLEY EAST CHARTER SCHOOL,E,EM,flat,flat,flat,
304.0,40.0,BRIGHTON 27J,1052.0,BROMLEY EAST CHARTER SCHOOL,M,EM,flat,flat,flat,
305.0,40.0,BRIGHTON 27J,2399.0,EAGLE RIDGE ACADEMY,H,H,flat,flat,flat,
306.0,40.0,BRIGHTON 27J,2945.0,FOUNDATIONS ACADEMY,E,E,flat,flat,up,
307.0,40.0,BRIGHTON 27J,3900.0,HENDERSON ELEMENTARY SCHOOL,E,E,flat,up,up,
308.0,40.0,BRIGHTON 27J,8032.0,JOHN W THIMMIG ELEMENTARY SCHOOL,E,E,flat,flat,flat,
309.0,40.0,BRIGHTON 27J,4950.0,LANDMARK ACADEMY AT REUNION,E,EM,flat,flat,flat,
310.0,40.0,BRIGHTON 27J,4950.0,LANDMARK ACADEMY AT REUNION,M,EM,flat,up,flat,
311.0,40.0,BRIGHTON 27J,5615.0,MARY E PENNOCK ELEMENTARY SCHOOL,E,E,flat,flat,flat,
312.0,40.0,BRIGHTON 27J,6294.0,NORTH ELEMENTARY SCHOOL,E,E,down,down,down,
313.0,40.0,BRIGHTON 27J,6395.0,NORTHEAST ELEMENTARY SCHOOL,E,E,flat,up,up,
314.0,40.0,BRIGHTON 27J,6702.0,OTHO E STUART MIDDLE SCHOOL,M,M,flat,flat,flat,
315.0,40.0,BRIGHTON 27J,6638.0,OVERLAND TRAIL MIDDLE SCHOOL,M,M,flat,flat,flat,
316.0,40.0,BRIGHTON 27J,7129.0,PRAIRIE VIEW HIGH SCHOOL,H,H,up,flat,flat,
317.0,40.0,BRIGHTON 27J,7131.0,PRAIRIE VIEW MIDDLE SCHOOL,M,M,flat,flat,down,
318.0,40.0,BRIGHTON 27J,7714.0,SECOND CREEK ELEMENTARY SCHOOL,E,E,flat,down,flat,
319.0,40.0,BRIGHTON 27J,8060.0,SOUTH ELEMENTARY SCHOOL,E,E,flat,flat,flat,
320.0,40.0,BRIGHTON 27J,8130.0,SOUTHEAST ELEMENTARY SCHOOL,E,E,flat,flat,flat,
321.0,40.0,BRIGHTON 27J,8820.0,TURNBERRY ELEMENTARY,E,E,up,up,up,
322.0,40.0,BRIGHTON 27J,9230.0,VIKAN MIDDLE SCHOOL,M,M,flat,flat,down,
323.0,40.0,BRIGHTON 27J,9426.0,WEST RIDGE ELEMENTARY,E,E,flat,flat,flat,
324.0,2395.0,BRUSH RE2(J),1438.0,BEAVER VALLEY ELEMENTARY SCHOOL,E,E,flat,down,down,
325.0,2395.0,BRUSH RE2(J),1096.0,BRUSH HIGH SCHOOL,H,H,flat,flat,flat,
326.0,2395.0,BRUSH RE2(J),1094.0,BRUSH MIDDLE SCHOOL,M,M,flat,down,down,
327.0,490.0,BUENA VISTA R31,4306.0,AVERY/PARSONS ELEMENTARY SCHOOL,E,E,flat,flat,flat,
328.0,490.0,BUENA VISTA R31,1130.0,BUENA VISTA HIGH SCHOOL,H,H,flat,up,flat,
329.0,490.0,BUENA VISTA R31,1154.0,BUENA VISTA ONLINE ACADEMY,E,EMH,,,,
330.0,490.0,BUENA VISTA R31,1154.0,BUENA VISTA ONLINE ACADEMY,M,EMH,,,,
331.0,490.0,BUENA VISTA R31,1154.0,BUENA VISTA ONLINE ACADEMY,H,EMH,,,,
332.0,490.0,BUENA VISTA R31,1508.0,CHAFFEE COUNTY HIGH SCHOOL,H,H,,,down,
333.0,490.0,BUENA VISTA R31,1132.0,HARRY L MC GINNIS MIDDLE SCHOOL,M,M,flat,flat,flat,
334.0,1860.0,BUFFALO RE4J,5802.0,MERINO ELEMENTARY SCHOOL,E,E,down,down,down,
335.0,1860.0,BUFFALO RE4J,5806.0,MERINO JUNIOR SENIOR HIGH SCHOOL,M,MH,flat,down,flat,
336.0,1860.0,BUFFALO RE4J,5806.0,MERINO JUNIOR SENIOR HIGH SCHOOL,H,MH,down,down,flat,
337.0,1500.0,BURLINGTON RE6J,1144.0,BURLINGTON ELEMENTARY SCHOOL,E,E,flat,up,up,
338.0,1500.0,BURLINGTON RE6J,1152.0,BURLINGTON HIGH SCHOOL,H,H,down,down,flat,
339.0,1500.0,BURLINGTON RE6J,1150.0,BURLINGTON MIDDLE SCHOOL,E,EM,down,down,flat,
340.0,1500.0,BURLINGTON RE6J,1150.0,BURLINGTON MIDDLE SCHOOL,M,EM,up,flat,flat,
341.0,190.0,BYERS 32J,1168.0,BYERS ELEMENTARY SCHOOL,E,E,down,flat,down,
342.0,190.0,BYERS 32J,1176.0,BYERS JUNIORSENIOR HIGH SCHOOL,M,MH,flat,flat,flat,
343.0,190.0,BYERS 32J,1176.0,BYERS JUNIORSENIOR HIGH SCHOOL,H,MH,flat,flat,flat,
344.0,970.0,CALHAN RJ1,1210.0,CALHAN ELEMENTARY SCHOOL,E,E,down,flat,flat,
345.0,970.0,CALHAN RJ1,1218.0,CALHAN HIGH SCHOOL,H,H,flat,down,flat,
346.0,970.0,CALHAN RJ1,1215.0,CALHAN MIDDLE SCHOOL,M,M,flat,flat,flat,
347.0,270.0,CAMPO RE6,1248.0,CAMPO ELEMENTARY SCHOOL,E,E,,,down,
348.0,270.0,CAMPO RE6,1252.0,CAMPO UNDIVIDED HIGH SCHOOL,M,MH,,,down,
349.0,270.0,CAMPO RE6,1252.0,CAMPO UNDIVIDED HIGH SCHOOL,H,MH,,,up,
350.0,1140.0,CANON CITY RE1,1266.0,CANON CITY HIGH SCHOOL,H,H,flat,down,flat,
351.0,1140.0,CANON CITY RE1,1262.0,CANON CITY MIDDLE SCHOOL,M,M,down,flat,flat,
352.0,1140.0,CANON CITY RE1,419.0,CANON ONLINE ACADEMY,M,MH,,,,
353.0,1140.0,CANON CITY RE1,419.0,CANON ONLINE ACADEMY,H,MH,,,,
354.0,1140.0,CANON CITY RE1,3802.0,HARRISON SCHOOL,E,EM,up,up,flat,
355.0,1140.0,CANON CITY RE1,3802.0,HARRISON SCHOOL,M,EM,flat,flat,flat,
356.0,1140.0,CANON CITY RE1,5166.0,LINCOLN ELEMENTARY SCHOOL,E,E,up,up,up,
357.0,1140.0,CANON CITY RE1,5704.0,MCKINLEY ELEMENTARY SCHOOL,E,E,down,down,flat,
358.0,1140.0,CANON CITY RE1,6752.0,MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,E,EM,up,flat,flat,
359.0,1140.0,CANON CITY RE1,6752.0,MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,M,EM,flat,up,flat,
360.0,1140.0,CANON CITY RE1,7950.0,SKYLINE ELEMENTARY SCHOOL,E,E,up,flat,up,
361.0,1140.0,CANON CITY RE1,9248.0,WASHINGTON ELEMENTARY SCHOOL,E,E,flat,up,flat,
362.0,640.0,CENTENNIAL R1,7588.0,CENTENNIAL ELEMENTARY SCHOOL,E,E,down,down,down,
363.0,640.0,CENTENNIAL R1,1398.0,CENTENNIAL HIGH SCHOOL,H,H,down,flat,flat,
364.0,640.0,CENTENNIAL R1,1396.0,CENTENNIAL JUNIOR HIGH SCHOOL,M,M,up,down,flat,
365.0,2810.0,CENTER 26 JT,1420.0,CENTER HIGH SCHOOL,H,H,up,flat,flat,
366.0,2810.0,CENTER 26 JT,1368.0,CENTER VIRTUAL ACADEMY,H,H,,,,
367.0,2810.0,CENTER 26 JT,1412.0,HASKIN ELEMENTARY SCHOOL,E,E,up,flat,flat,
368.0,2810.0,CENTER 26 JT,1416.0,SKOGLUND MIDDLE SCHOOL,M,M,flat,flat,flat,
369.0,2810.0,CENTER 26 JT,51.0,THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,H,H,,,up,
370.0,8001.0,CHARTER SCHOOL INSTITUTE,75.0,ANIMAS HIGH SCHOOL,H,H,flat,flat,flat,
371.0,8001.0,CHARTER SCHOOL INSTITUTE,1279.0,CAPROCK ACADEMY,E,EMH,flat,flat,flat,
372.0,8001.0,CHARTER SCHOOL INSTITUTE,1279.0,CAPROCK ACADEMY,M,EMH,flat,up,flat,
373.0,8001.0,CHARTER SCHOOL INSTITUTE,1279.0,CAPROCK ACADEMY,H,EMH,flat,down,flat,
374.0,8001.0,CHARTER SCHOOL INSTITUTE,1901.0,COLORADO CALVERT ACADEMY,E,EM,flat,,flat,
375.0,8001.0,CHARTER SCHOOL INSTITUTE,1901.0,COLORADO CALVERT ACADEMY,M,EM,down,flat,flat,
376.0,8001.0,CHARTER SCHOOL INSTITUTE,1877.0,COLORADO PROVOST ACADEMY,H,H,down,flat,flat,
377.0,8001.0,CHARTER SCHOOL INSTITUTE,1791.0,COLORADO SPRINGS CHARTER ACADEMY,E,EM,flat,up,flat,
378.0,8001.0,CHARTER SCHOOL INSTITUTE,1791.0,COLORADO SPRINGS CHARTER ACADEMY,M,EM,flat,flat,flat,
379.0,8001.0,CHARTER SCHOOL INSTITUTE,1795.0,COLORADO SPRINGS EARLY COLLEGES,H,H,flat,down,flat,
380.0,8001.0,CHARTER SCHOOL INSTITUTE,1882.0,COMMUNITY LEADERSHIP ACADEMY,E,EM,up,up,up,
381.0,8001.0,CHARTER SCHOOL INSTITUTE,1882.0,COMMUNITY LEADERSHIP ACADEMY,M,EM,up,flat,flat,
382.0,8001.0,CHARTER SCHOOL INSTITUTE,2837.0,EARLY COLLEGE HIGH SCHOOL AT ARVADA,M,MH,flat,flat,up,
383.0,8001.0,CHARTER SCHOOL INSTITUTE,2837.0,EARLY COLLEGE HIGH SCHOOL AT ARVADA,H,MH,flat,down,flat,
384.0,8001.0,CHARTER SCHOOL INSTITUTE,35.0,FRONTIER CHARTER ACADEMY,E,EM,down,,down,
385.0,8001.0,CHARTER SCHOOL INSTITUTE,35.0,FRONTIER CHARTER ACADEMY,M,EM,,,down,
386.0,8001.0,CHARTER SCHOOL INSTITUTE,3475.0,GOAL ACADEMY,M,MH,flat,flat,flat,
387.0,8001.0,CHARTER SCHOOL INSTITUTE,3475.0,GOAL ACADEMY,H,MH,flat,up,flat,
388.0,8001.0,CHARTER SCHOOL INSTITUTE,655.0,HIGH POINT ACADEMY,E,EM,flat,up,up,
389.0,8001.0,CHARTER SCHOOL INSTITUTE,655.0,HIGH POINT ACADEMY,M,EM,down,down,flat,
390.0,8001.0,CHARTER SCHOOL INSTITUTE,5453.0,MOUNTAIN MIDDLE SCHOOL,M,M,flat,flat,flat,
391.0,8001.0,CHARTER SCHOOL INSTITUTE,8929.0,PIKES PEAK PREP,E,EMH,down,flat,flat,
392.0,8001.0,CHARTER SCHOOL INSTITUTE,8929.0,PIKES PEAK PREP,M,EMH,flat,flat,flat,
393.0,8001.0,CHARTER SCHOOL INSTITUTE,8929.0,PIKES PEAK PREP,H,EMH,down,down,up,
394.0,8001.0,CHARTER SCHOOL INSTITUTE,7278.0,RICARDO FLORES MAGON ACADEMY,E,E,down,down,down,
395.0,8001.0,CHARTER SCHOOL INSTITUTE,7512.0,ROSS MONTESSORI SCHOOL,E,EM,flat,flat,down,
396.0,8001.0,CHARTER SCHOOL INSTITUTE,7512.0,ROSS MONTESSORI SCHOOL,M,EM,flat,down,flat,
397.0,8001.0,CHARTER SCHOOL INSTITUTE,1376.0,SCHOLARS TO LEADERS ACADEMY,E,EM,flat,down,flat,
398.0,8001.0,CHARTER SCHOOL INSTITUTE,1376.0,SCHOLARS TO LEADERS ACADEMY,M,EM,up,flat,flat,
399.0,8001.0,CHARTER SCHOOL INSTITUTE,653.0,STONE CREEK SCHOOL,E,EM,up,up,up,
400.0,8001.0,CHARTER SCHOOL INSTITUTE,653.0,STONE CREEK SCHOOL,M,EM,flat,flat,flat,
401.0,8001.0,CHARTER SCHOOL INSTITUTE,657.0,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,E,EM,up,flat,flat,
402.0,8001.0,CHARTER SCHOOL INSTITUTE,657.0,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,M,EM,up,up,flat,
403.0,8001.0,CHARTER SCHOOL INSTITUTE,654.0,THE PINNACLE CHARTER SCHOOL ELEMENTARY,E,E,down,down,down,
404.0,8001.0,CHARTER SCHOOL INSTITUTE,6914.0,THE PINNACLE CHARTER SCHOOL HIGH,H,H,down,flat,flat,
405.0,8001.0,CHARTER SCHOOL INSTITUTE,6913.0,THE PINNACLE CHARTER SCHOOL MIDDLE,M,M,flat,flat,flat,
406.0,8001.0,CHARTER SCHOOL INSTITUTE,9057.0,THE VANGUARD SCHOOL (HIGH),H,H,flat,flat,flat,
407.0,8001.0,CHARTER SCHOOL INSTITUTE,9051.0,THE VANGUARD SCHOOL (MIDDLE),M,M,down,down,flat,
408.0,8001.0,CHARTER SCHOOL INSTITUTE,8825.0,THOMAS MACLAREN STATE CHARTER SCHOOL,M,MH,up,down,down,
409.0,8001.0,CHARTER SCHOOL INSTITUTE,8825.0,THOMAS MACLAREN STATE CHARTER SCHOOL,H,MH,flat,flat,flat,
410.0,8001.0,CHARTER SCHOOL INSTITUTE,9785.0,YOUTH & FAMILY ACADEMY CHARTER,M,MH,up,,down,
411.0,8001.0,CHARTER SCHOOL INSTITUTE,9785.0,YOUTH & FAMILY ACADEMY CHARTER,H,MH,down,down,down,
412.0,2560.0,CHERAW 31,1538.0,CHERAW ELEMENTARY SCHOOL,E,E,flat,up,up,
413.0,2560.0,CHERAW 31,1546.0,CHERAW HIGH SCHOOL,H,H,up,up,flat,
414.0,2560.0,CHERAW 31,1548.0,CHERAW MIDDLE SCHOOL,M,M,down,up,up,
415.0,130.0,CHERRY CREEK 5,242.0,ANTELOPE RIDGE ELEMENTARY SCHOOL,E,E,flat,flat,flat,
416.0,130.0,CHERRY CREEK 5,348.0,ARROWHEAD ELEMENTARY SCHOOL,E,E,flat,down,down,
417.0,130.0,CHERRY CREEK 5,442.0,ASPEN CROSSING ELEMENTARY SCHOOL,E,E,flat,down,flat,
418.0,130.0,CHERRY CREEK 5,714.0,BELLEVIEW ELEMENTARY SCHOOL,E,E,flat,flat,flat,
419.0,130.0,CHERRY CREEK 5,1155.0,BUFFALO TRAIL ELEMENTARY SCHOOL,E,E,flat,down,down,
420.0,130.0,CHERRY CREEK 5,1566.0,CAMPUS MIDDLE SCHOOL,M,M,flat,flat,flat,
421.0,130.0,CHERRY CREEK 5,1273.0,CANYON CREEK ELEMENTARY SCHOOL,E,E,down,down,down,
422.0,130.0,CHERRY CREEK 5,1510.0,CHALLENGE SCHOOL,E,EM,flat,down,flat,
423.0,130.0,CHERRY CREEK 5,1510.0,CHALLENGE SCHOOL,M,EM,flat,flat,flat,
424.0,130.0,CHERRY CREEK 5,1551.0,CHEROKEE TRAIL HIGH SCHOOL,H,H,flat,flat,flat,
425.0,130.0,CHERRY CREEK 5,1571.0,CHERRY CREEK CHARTER ACADEMY,E,EM,flat,flat,flat,
426.0,130.0,CHERRY CREEK 5,1571.0,CHERRY CREEK CHARTER ACADEMY,M,EM,flat,flat,flat,
427.0,130.0,CHERRY CREEK 5,1570.0,CHERRY CREEK HIGH SCHOOL,H,H,flat,flat,flat,
428.0,130.0,CHERRY CREEK 5,1574.0,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,E,E,flat,down,flat,
429.0,130.0,CHERRY CREEK 5,1614.0,CIMARRON ELEMENTARY SCHOOL,E,E,flat,flat,flat,
430.0,130.0,CHERRY CREEK 5,1916.0,COTTONWOOD CREEK ELEMENTARY SCHOOL,E,E,flat,flat,flat,
431.0,130.0,CHERRY CREEK 5,243.0,COYOTE HILLS ELEMENTARY SCHOOL,E,E,flat,flat,flat,
432.0,130.0,CHERRY CREEK 5,1970.0,CREEKSIDE ELEMENTARY SCHOOL,E,E,flat,flat,flat,
433.0,130.0,CHERRY CREEK 5,2094.0,DAKOTA VALLEY ELEMENTARY SCHOOL,E,E,flat,flat,flat,
434.0,130.0,CHERRY CREEK 5,2292.0,DRY CREEK ELEMENTARY SCHOOL,E,E,flat,flat,flat,
435.0,130.0,CHERRY CREEK 5,2357.0,EAGLECREST HIGH SCHOOL,H,H,flat,flat,flat,
436.0,130.0,CHERRY CREEK 5,2428.0,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,E,E,flat,down,flat,
437.0,130.0,CHERRY CREEK 5,2897.0,FALCON CREEK MIDDLE SCHOOL,M,M,flat,flat,flat,
438.0,130.0,CHERRY CREEK 5,16.0,FOX HOLLOW ELEMENTARY SCHOOL,E,E,flat,flat,flat,
439.0,130.0,CHERRY CREEK 5,3030.0,FOX RIDGE MIDDLE SCHOOL,M,M,flat,down,flat,
440.0,130.0,CHERRY CREEK 5,3589.0,GRANDVIEW HIGH SCHOOL,H,H,flat,up,flat,
441.0,130.0,CHERRY CREEK 5,3648.0,GREENWOOD ELEMENTARY SCHOOL,E,E,flat,flat,flat,
442.0,130.0,CHERRY CREEK 5,3926.0,HERITAGE ELEMENTARY SCHOOL,E,E,down,down,flat,
443.0,130.0,CHERRY CREEK 5,1572.0,HIGH PLAINS ELEMENTARY SCHOOL,E,E,flat,down,flat,
444.0,130.0,CHERRY CREEK 5,3988.0,HIGHLINE COMMUNITY ELEMENTARY SCHOOL,E,E,down,down,down,
445.0,130.0,CHERRY CREEK 5,4062.0,HOLLY HILLS ELEMENTARY SCHOOL,E,E,flat,down,flat,
446.0,130.0,CHERRY CREEK 5,4078.0,HOMESTEAD ELEMENTARY SCHOOL,E,E,flat,flat,flat,
447.0,130.0,CHERRY CREEK 5,4100.0,HORIZON MIDDLE SCHOOL,M,M,flat,flat,flat,
448.0,130.0,CHERRY CREEK 5,4276.0,INDEPENDENCE ELEMENTARY SCHOOL,E,E,down,down,flat,
449.0,130.0,CHERRY CREEK 5,4280.0,INDIAN RIDGE ELEMENTARY SCHOOL,E,E,flat,flat,flat,
